Year,School,Speaker,SpeakerTitle,SpeakerFirst,SpeakerMiddle,SpeakerLast,EventType,ControversyTopic,DisinvitationYN,FromRightorLeftofSpeaker
2011,Anna Maria College,Victoria Reggie Kennedy,,Victoria,,Reggie Kennedy,Commencement,Views on Abortion/Contraception,Yes,From the Right
2011,St. Francis University,Ellen Goodman,,Ellen,,Goodman,Campus Speech/Debate,Views on Abortion/Contraception,Yes,From the Right
2011,Point Loma Nazarene University,Vincente Fox,,Vincente,,Fox,Campus Speech/Debate,Other Political Views or Positions,Yes,From the Right
2011,University of California, Santa Barbara,David Horowitz,,David,,Horowitz,Campus Speech/Debate,Views on Islam,No,From the Left
2011,San Diego City College,Bonnie Dumanis,,Bonnie,,Dumanis,Campus Speech/Debate,Local Politics,Yes,From the Left
2012,Gonzaga University,Desmond Tutu,,Desmond,,Tutu,Commencement,"Views on Abortion/Contraception, Views on Sexual Orientation",No,From the Right
2012,Liberty University,Mitt Romney,,Mitt,,Romney,Commencement,Speaker's Religion,No,N/A
2012,"University of California, Berkeley",Louis Farrakhan,,Louis,,Farrakhan,Campus Speech/Debate,"Views on Sexual Orientation, Racial Issues",No,From the Left
2012,Adrian College,Pat Boone,,Pat,,Boone,Commencement,Views on Sexual Orientation,No,From the Left
2012,Temple University,Robert Spencer,,Robert,,Spencer,Campus Speech/Debate,Views on Islam,No,From the Left
2012,"Indiana University, Bloomington",Douglas Wilson,,Douglas,,Wilson,Campus Speech/Debate,Views on Sexual Orientation,No,From the Left
2012,"University of California, Davis",Ran Bar-Yoshafat,,Ran,,Bar-Yoshafat,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,Yes,From the Left
2012,"University of California, Irvine",Osama Shabaik,,Osama,,Shabaik,Campus Speech/Debate,"Views on Israeli-Palestinian Conflict, Criminal/Other Misconduct",Yes,From the Right
2012,Fordham University,Ann Coulter,,Ann,,Coulter,Campus Speech/Debate,Other Political Views or Positions,Yes,From the Left
2012,Cornish College of the Arts,Mike Daisey,,Mike,,Daisey,Commencement,Criminal/Other Misconduct,Yes,N/A
2012,University of North Carolina at Chapel Hill,Michael Bloomberg,,Michael,,Bloomberg,Commencement,"Racial Issues, Civil Liberties",No,From the Left
2012,Michigan State University,Rick Snyder,,Rick,,Snyder,Commencement,"Other Political Views or Positions, Local Politics",No,From the Left
2012,University of Alabama,Louis Farrakhan,,Louis,,Farrakhan,Campus Speech/Debate,"Views on Sexual Orientation, Racial Issues",No,From the Left
2012,Mercy College School of Nursing,Robert Hagan,,Robert,,Hagan,Commencement,"Views on Abortion/Contraception, Views on Sexual Orientation",Yes,From the Right
2012,Fordham University,John Brennan,,John,,Brennan,Commencement,"Other Political Views or Positions, Civil Liberties",No,From the Left
2012,Earlham College,Jonah Lehrer,,Jonah,,Lehrer,Campus Speech/Debate,Criminal/Other Misconduct,Yes,N/A
2012,Emory University,Ben Carson,,Ben,,Carson,Commencement,Evolution/Scientific Views,No,From the Left
2012,University of San Diego,Tina Beattie,,Tina,,Beattie,Teaching,"Views on Abortion/Contraception, Views on Sexual Orientation",Yes,From the Right
2012,Georgetown University,Kathleen Sebelius,,Kathleen,,Sebelius,Commencement,Views on Abortion/Contraception,No,From the Right
2012,George Washington University,Carlos Slim,,Carlos,,Slim,Commencement,Other,No,From the Left
2012,Villanova University,Tim Miller,,Tim,,Miller,Campus Speech/Debate,"Views on Sexual Orientation, Other",Yes,From the Right
2013,Millersville University,Tom Corbett,,Tom,,Corbett,Commencement,Local Politics,No,From the Left
2013,Duquesne University,Geraldo Rivera,,Geraldo,,Rivera,Campus Speech/Debate,Other,Yes,From the Right
2013,Benedictine College,Paul Ryan ,,Paul,,Ryan,Commencement,Other Political Views or Positions,No,From the Left
2013,Swarthmore College,Robert Zoellick,,Robert,,Zoellick,Commencement,Other Political Views or Positions,Yes,From the Left
2013,Coastal Carolina University,Tim Scott,,Tim,,Scott,Commencement,"Views on Gender, Other Political Views or Positions",No,From the Left
2013,St. John's University,Peter King,,Peter,,King,Commencement,Views on Islam,No,From the Left
2013,Brown University,Ray Kelly,,Ray,,Kelly,Campus Speech/Debate,"Racial Issues, Civil Liberties",Yes,From the Left
2013,Tuskegee University,Louis Farrakhan,,Louis,,Farrakhan,Campus Speech/Debate,"Views on Sexual Orientation, Racial Issues",No,From the Left
2013,Georgetown University,Greta Van Susteren,,Greta,,Van Susteren,Commencement,Other Political Views or Positions,No,From the Left
2013,University of Michigan,Alice Walker,,Alice,,Walker,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,Yes,From the Right
2013,Xavier University,Anthony Munoz,,Anthony,,Munoz,Commencement,Views on Sexual Orientation,No,From the Left
2013,Providence College ,John Corvino,,John,,Corvino,Campus Speech/Debate,Views on Sexual Orientation,Yes,From the Right
2013,University of Oklahoma,Fareed Zakaria,,Fareed,,Zakaria,Commencement,Criminal/Other Misconduct,No,N/A
2013,Grand Valley State University,Rick Snyder,,Rick,,Snyder,Commencement,Local Politics,No,From the Left
2013,Morehouse College,Kevin Johnson,,Kevin,,Johnson,Commencement,Other Political Views or Positions,Yes,From the Left
2013,Johns Hopkins University,Ben Carson,,Ben,,Carson,Commencement,Views on Sexual Orientation,Yes,From the Left
2013,Pasadena City College,James Deen,,James,,Deen,Campus Speech/Debate,Other,Yes,From the Right
2013,Saint Louis University,Scott Brown,,Scott,,Brown,Campus Speech/Debate,Other Political Views or Positions,Yes,N/A
2013,Yeshiva University,Jimmy Carter,,Jimmy,,Carter,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,No,From the Right
2013,University of Michigan,Jennifer Gratz,,Jennifer,,Gratz,Campus Speech/Debate,Racial Issues,No,From the Left
2013,Midwestern State University,Ben Carson,,Ben,,Carson,Commencement,Views on Sexual Orientation,No,From the Left
2013,University of Massachusetts Amherst,Karl Rove,,Karl,,Rove,Campus Speech/Debate,"Other Political Views or Positions, Civil Liberties",No,From the Left
2013,"University of California, Santa Barbara",David Harris-Gershon,,David,,Harris-Gershon,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,Yes,From the Right
2013,University of Montana Western,Carol & Pat Williams,,Carol & Pat,,Williams,Commencement,Other,No,N/A
2013,Skidmore College,Cynthia Carroll,,Cynthia,,Carroll,Commencement,Other Political Views or Positions,No,From the Left
2013,University of Pennsylvania,Narendra Modi,,Narendra,,Modi,Campus Speech/Debate,Other Political Views or Positions,Yes,From the Left
2013,Western New England University Law School,Lois Lerner,,Lois,,Lerner,Commencement,Criminal/Other Misconduct,Yes,From the Right
2013,Lehigh University,Hisham Melhem,,Hisham,,Melhem,Campus Speech/Debate,Other Political Views or Positions,No,N/A
2013,University of Illinois at Urbana-Champaign,Shahid Khan,,Shahid,,Khan,Commencement,Other Political Views or Positions,No,From the Left
2013,Saint Louis University,Scott Brown,,Scott,,Brown,Campus Speech/Debate,Other Political Views or Positions,Yes,N/A
2013,"University of California, Berkeley",Eric Holder,,Eric,,Holder,Commencement,Other Political Views or Positions,No,From the Left
2013,Georgetown University,Ramy Jan,,Ramy,,Jan,Campus Speech/Debate,"Racial Issues, Views on Israeli-Palestinian Conflict",Yes,From the Right
2013,Boston College,Edna Kenny,,Edna,,Kenny,Commencement,Views on Abortion/Contraception,No,From the Right
2013,George Washington University,Alec Baldwin,,Alec,,Baldwin,Commencement,Views on Sexual Orientation,Yes,From the Left
2014,"University of California, Davis",Clint Bolick,,Clint,,Bolick,Campus Speech/Debate,"Racial Issues, Other Political Views or Positions, Views on Immigration",No,From the Left
2014,Goddard College,Mumia Abu-Jamal,,Mumia,,Abu-Jamal,Commencement,Criminal/Other Misconduct,No,From the Right
2014,Valdosta State University,Ben Carson,,Ben,,Carson,Campus Speech/Debate,"Views on Sexual Orientation, Racial Issues, Other Political Views or Positions",No,From the Right
2014,Tufts University,Eran Shamir-Borer,,Eran,,Shamir-Borer,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,No,From the Left
2014,Montana Tech of the University of Montana,Freg Gianforte,,Freg,,Gianforte,Commencement,"Views on Sexual Orientation, Evolution/Scientific Views",No,From the Left
2014,"University of California, Irvine",Nonie Darwish,,Nonie,,Darwish,Campus Speech/Debate,Views on Islam,Yes,From the Left
2014,Barnard College,Cecile Richards,,Cecile,,Richards,Commencement,Views on Abortion/Contraception,No,From the Right
2014,Yale University,Ayaan Hirsi Ali,,Ayaan,,Hirsi Ali,Campus Speech/Debate,Views on Islam,No,From the Left
2014,Miami University (OH),George Will,,George,,Will,Campus Speech/Debate,Views on Gender,No,From the Left
2014,"University of California, Berkeley",Peter Thiel,,Peter,,Thiel,Campus Speech/Debate,"Racial Issues, Civil Liberties",Yes,From the Left
2014,Laney College,Janet Napolitano,,Janet,,Napolitano,Commencement,Views on Immigration,No,From the Left
2014,Suffolk University,Abraham Foxman,,Abraham,,Foxman,Commencement,"Views on Islam, Other Political Views or Positions",No,From the Left
2014,Haverford College,Robert Birgeneau,,Robert,,Birgeneau,Commencement,Civil Liberties,Yes,From the Left
2014,Smith College,Christine Lagarde,,Christine,,Lagarde,Commencement,Views on Gender,Yes,From the Left
2014,Pasadena City College,Dustin Lance Black,,Dustin Lance,,Black,Commencement,Other,Yes,N/A
2014,"University of California, Hastings College of Law",Janet Napolitano,,Janet,,Napolitano,Commencement,Views on Immigration,No,From the Left
2014,Rutgers University,Condoleezza Rice,,Condoleezza,,Rice,Commencement,"Other Political Views or Positions, Civil Liberties",Yes,From the Left
2014,Harvard University Graduate School of Education,Michael Johnston,,Michael,,Johnston,Commencement,Other Political Views or Positions,No,N/A
2014,Michigan State University,George Will,,George,,Will,Commencement,Views on Gender,No,From the Left
2014,Utah State University,Anita Sarkeesian,,Anita,,Sarkeesian,Campus Speech/Debate,Views on Gender,Yes,From the Right
2014,Scripps College,George Will,,George,,Will,Campus Speech/Debate,Views on Gender,Yes,From the Left
2014,"University of California, Berkeley",Bill Maher,,Bill,,Maher,Commencement,Views on Islam,No,From the Left
2014,University of Minnesota,Condoleezza Rice,,Condoleezza,,Rice,Campus Speech/Debate,"Other Political Views or Positions, Civil Liberties",No,From the Left
2014,Columbia University,Alan Dershowitz,,Alan,,Dershowitz,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,No,From the Left
2014,Harvard University,Michael Bloomberg,,Michael,,Bloomberg,Commencement,"Racial Issues, Other Political Views or Positions, Civil Liberties",No,From the Left
2014,Azusa Pacific University,Charles Murray,,Charles,,Murray,Campus Speech/Debate,Racial Issues,Yes,From the Left
2014,Brandeis University,Ayaan Hirsi Ali,,Ayaan,,Hirsi Ali,Commencement,Views on Islam,Yes,From the Left
2014,Howard University,Sean (Diddy) Combs,,Sean (Diddy),,Combs,Commencement,Other,No,N/A
2015,Southern Illinois University Carbondale,Bruce Rauner ,,Bruce,, Rauner,Commencement,"Other Political Views or Positions, Local Politics",No,From the Left
2015,"University of California, Berkeley",Nicholas Dirks,,Nicholas,,Dirks,Campus Speech/Debate,"Racial Issues, Other",Yes,From the Left
2015,New York University,Harold Koh,,Harold,,Koh,Teaching,Civil Liberties,No,From the Left
