trafficLight,Year,School,Speaker,SpeakerTitle,SpeakerFirst,SpeakerMiddle,SpeakerLast,EventType,ControversyTopic,DisinvitationYN,FromRightorLeftofSpeaker,id,trafficId,disinvitationId,trafficDisinviteId
none,2014,Suffolk University,Abraham Foxman,,Abraham,,Foxman,Commencement,"Views on Islam, Other Political Views or Positions",No,From the Left,254,127,62,78
none,2014,"University of California, Hastings College of Law",Janet Napolitano,,Janet,,Napolitano,Commencement,Views on Immigration,No,From the Left,258,129,63,79
none,2014,University of Minnesota,Condoleezza Rice,,Condoleezza,,Rice,Campus Speech/Debate,"Other Political Views or Positions, Civil Liberties",No,From the Left,265,130,64,80
none,2015,American Baptist College,Yvette Flunder,,Yvette,,Flunder,Campus Speech/Debate,Views on Sexual Orientation,No,From the Right,275,132,65,81
none,2015,Saint Louis University,Robert McCulloch,,Robert,,McCulloch,Campus Speech/Debate,Racial Issues,No,From the Left,276,133,66,82
none,2015,Le Moyne College,Timothy Dolan,,Timothy,,Dolan,Commencement,"Views on Sexual Orientation, Criminal/Other Misconduct",No,From the Left,280,134,67,83
none,2015,St. John Fisher College,Rudolph Giuliani,,Rudolph,,Giuliani,Commencement,"Racial Issues, Other Political Views or Positions",No,From the Left,284,135,68,84
none,2015,Alma College,Ben Carson,,Ben,,Carson,Campus Speech/Debate,"Views on Sexual Orientation, Racial Issues, Views on Gender, Other Political Views or Positions",No,From the Left,286,136,69,85
none,2015,University of Minnesota,Moshe Halbertal,,Moshe,,Halbertal,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,No,From the Left,288,137,70,86
none,2015,Drexel University,Noam Chomsky,,Noam,,Chomsky,Commencement,Views on Israeli-Palestinian Conflict,No,From the Right,289,138,71,87
none,2016,University of Alabama - Huntsville,Jeff Sessions,,Jeff,,Sessions,Commencement,"Other Political Views or Positions, Local Politics",No,From the Right,296,139,72,88
none,2016,Virginia Tech,Charles Murray,,Charles,,Murray,Campus Speech/Debate,Racial Issues,No,From the Left,299,140,73,89
none,2016,Seattle University,Sara Pentlicky,,Sara,,Pentlicky,Campus Speech/Debate,Views on Abortion/Contraception,No,From the Right,301,141,74,90
none,2016,Louisiana State University,Milo Yiannopoulos,,Milo,,Yiannopoulos,Campus Speech/Debate,"Views on Sexual Orientation, Racial Issues, Views on Islam, Views on Gender, Other Political Views or Positions",No,From the Left,315,144,75,91
none,2016,Elon University,Kathleen Parker,,Kathleen,,Parker,Campus Speech/Debate,"Racial Issues, Views on Gender",No,From the Left,317,145,76,92
none,2016,University of Colorado ,Milo Yiannopoulos,,Milo,,Yiannopoulos,Campus Speech/Debate,"Views on Sexual Orientation, Racial Issues, Views on Islam, Views on Gender, Other Political Views or Positions, Views on Immigration",No,From the Left,322,150,77,93
none,2016,Texas A&M University,Richard Spencer,,Richard,,Spencer,Campus Speech/Debate,Racial Issues,No,From the Left,332,152,78,94
none,2016,Washington State University,Milo Yiannopoulos,,Milo,,Yiannopoulos,Campus Speech/Debate,"Views on Sexual Orientation, Racial Issues, Views on Islam, Views on Gender, Other Political Views or Positions, Views on Immigration",No,From the Left,333,153,79,95
none,2017,Bethune-Cookman University,Betsy DeVos,,Betsy,,DeVos,Commencement,Racial Issues,No,From the Left,341,155,80,96
none,2017,University of Baltimore,Betsy DeVos,,Betsy,,DeVos,Commencement,Other Political Views or Positions,No,From the Left,345,157,81,97
none,2017,City University of New York,Preet Bharara,,Preet,,Bharara,Campus Speech/Debate,Racial Issues,No,From the Left,347,158,82,98
none,2017,City University of New York,Linda Sarsour,,Linda,,Sarsour,Commencement,Views on Israeli-Palestinian Conflict,No,From the Right,349,160,83,99
none,2017,Indiana University,Charles Murray,,Charles,,Murray,Campus Speech/Debate,Racial Issues,No,From the Left,355,164,84,100
none,2018,Ave Maria University,Betsy DeVos,,Betsy,,DeVos,Commencement,Other Political Views or Positions,No,N/A,376,168,85,101
none,2003,Schenectady County Community College,Scott Ritter,,Scott,,Ritter,Campus Speech/Debate,"Other Political Views or Positions, Criminal/Other Misconduct",Yes,From the Right,24,28,223,102
none,2003,Guilford College,Howard Coble,,Howard,,Coble,Commencement,Civil Liberties,Yes,From the Left,26,29,224,103
none,2003,"Saint Louis University	",Donald J. Carty,,Donald J.,,Carty,Commencement,"Criminal/Other Misconduct, Other",Yes,N/A,28,30,225,104
none,2003,Rockford College,Chris Hedges,,Chris,,Hedges,Commencement,Other Political Views or Positions,Yes,From the Right,33,33,226,105
none,2004,University of Saint Francis,Nancy Snyderman,,Nancy,,Snyderman,Commencement,Views on Abortion/Contraception,Yes,From the Right,36,35,227,106
none,2004,Catholic University,Eleanor Holmes Norton,,Eleanor Holmes,,Norton,Campus Speech/Debate,Views on Abortion/Contraception,Yes,From the Right,41,36,228,107
none,2004,Mount Saint Mary's College,Alberto Gonzales,,Alberto,,Gonzales,Commencement,Civil Liberties,Yes,From the Left,42,37,229,108
none,2004,Catholic University,Stanley Tucci,,Stanley,,Tucci,Campus Speech/Debate,Views on Abortion/Contraception,Yes,From the Right,43,38,230,109
none,2005,St. Elizabeth College of Nursing,Sherwood Boehert,,Sherwood,,Boehert,Commencement,Views on Abortion/Contraception,Yes,From the Right,54,41,231,110
none,2005,Wheaton College,Ward Churchill,,Ward,,Churchill,Campus Speech/Debate,Other Political Views or Positions,Yes,From the Right,56,43,232,111
none,2005,Antioch College,Ward Churchill,,Ward,,Churchill,Commencement,Other Political Views or Positions,Yes,From the Right,57,44,233,112
